"","x"
"1","160 BT BATOK ST 11"
"2","161 BT BATOK ST 11"
"3","164 BT BATOK ST 11"
"4","177 BT BATOK WEST AVE 8"
"5","130 BT BATOK WEST AVE 6"
"6","127 BT BATOK WEST AVE 6"
"7","205 BT BATOK ST 21"
"8","248 BT BATOK EAST AVE 5"
"9","258 BT BATOK EAST AVE 4"
"10","4 HILLVIEW AVE"
"11","6 HILLVIEW AVE"
"12","2 HILLVIEW AVE"
"13","146 BT BATOK WEST AVE 6"
"14","138 BT BATOK WEST AVE 6"
"15","134 BT BATOK WEST AVE 6"
"16","143 BT BATOK ST 11"
"17","145 BT BATOK ST 11"
"18","182 BT BATOK WEST AVE 8"
"19","180 BT BATOK WEST AVE 8"
"20","228 BT BATOK CTRL"
"21","227 BT BATOK CTRL"
"22","219 BT BATOK ST 21"
"23","244 BT BATOK EAST AVE 5"
"24","116 BT BATOK WEST AVE 6"
"25","113 BT BATOK WEST AVE 6"
"26","163 BT BATOK ST 11"
"27","169 BT BATOK WEST AVE 8"
"28","165 BT BATOK WEST AVE 8"
"29","129 BT BATOK WEST AVE 6"
"30","204 BT BATOK ST 21"
"31","209 BT BATOK ST 21"
"32","135 BT BATOK WEST AVE 6"
"33","184 BT BATOK WEST AVE 8"
"34","225 BT BATOK CTRL"
"35","123 BT BATOK CTRL"
"36","307 BT BATOK ST 31"
"37","216 BT BATOK ST 21"
"38","115 BT BATOK WEST AVE 6"
"39","117 BT BATOK WEST AVE 6"
"40","111 BT BATOK WEST AVE 6"
"41","103 BT BATOK CTRL"
"42","223 BT BATOK EAST AVE 3"
"43","221 BT BATOK EAST AVE 3"
"44","214 BT BATOK ST 21"
"45","120 BT BATOK CTRL"
"46","121 BT BATOK CTRL"
"47","142 BT BATOK ST 11"
"48","140 BT BATOK ST 11"
"49","141 BT BATOK ST 11"
"50","33 TAMAN HO SWEE"
"51","7 TELOK BLANGAH CRES"
"52","40 BEO CRES"
"53","44 TELOK BLANGAH DR"
"54","46 TELOK BLANGAH DR"
"55","103 DEPOT RD"
"56","110 DEPOT RD"
"57","42 TELOK BLANGAH RISE"
"58","132 JLN BT MERAH"
"59","133 JLN BT MERAH"
"60","96 HENDERSON RD"
"61","77 INDUS RD"
"62","78 INDUS RD"
"63","128 BT MERAH VIEW"
"64","130 BT MERAH VIEW"
"65","119 BT MERAH VIEW"
"66","114 BT MERAH VIEW"
"67","5 TELOK BLANGAH CRES"
"68","105 HENDERSON CRES"
