"","x"
"1","505 BT BATOK ST 52"
"2","411 BT BATOK WEST AVE 4"
"3","226 BT BATOK CTRL"
"4","259 BT BATOK EAST AVE 4"
"5","363 BT BATOK ST 31"
"6","423 BT BATOK WEST AVE 2"
"7","408 BT BATOK WEST AVE 4"
"8","139 BT BATOK WEST AVE 6"
"9","175 BT BATOK WEST AVE 8"
"10","163 BT BATOK ST 11"
"11","205 BT BATOK ST 21"
"12","298 BT BATOK ST 22"
"13","291B BT BATOK ST 24"
"14","290E BT BATOK ST 24"
"15","414 BT BATOK WEST AVE 4"
"16","288D BT BATOK ST 25"
"17","123 BT BATOK CTRL"
"18","230 BT BATOK EAST AVE 3"
"19","241 BT BATOK EAST AVE 5"
"20","407 BT BATOK WEST AVE 4"
"21","315 BT BATOK ST 32"
"22","325 BT BATOK ST 33"
"23","243 BT BATOK EAST AVE 5"
"24","291D BT BATOK ST 24"
"25","290G BT BATOK ST 24"
"26","289B BT BATOK ST 25"
"27","188 BT BATOK WEST AVE 6"
"28","627 BT BATOK CTRL"
"29","288B BT BATOK ST 25"
"30","403 BT BATOK WEST AVE 7"
"31","140 BT BATOK ST 11"
"32","524 BT BATOK ST 52"
"33","7 TELOK BLANGAH CRES"
"34","46 TELOK BLANGAH DR"
"35","88 ZION RD"
"36","89 ZION RD"
"37","36 BEO CRES"
"38","21 REDHILL CL"
"39","18 TAMAN HO SWEE"
"40","24 TELOK BLANGAH CRES"
"41","40 TELOK BLANGAH RISE"
"42","107 BT PURMEI RD"
"43","101 HENDERSON CRES"
"44","102 HENDERSON CRES"
"45","2 EVERTON PK"
"46","39 TELOK BLANGAH RISE"
"47","610 CLEMENTI WEST ST 1"
"48","407 CLEMENTI AVE 1"
"49","403 CLEMENTI AVE 1"
"50","401 CLEMENTI AVE 1"
"51","365 CLEMENTI AVE 2"
"52","430 CLEMENTI AVE 3"
"53","445 CLEMENTI AVE 3"
"54","320 CLEMENTI AVE 4"
"55","308 CLEMENTI AVE 4"
"56","306 CLEMENTI AVE 4"
"57","346 CLEMENTI AVE 5"
"58","345 CLEMENTI AVE 5"
"59","603 CLEMENTI WEST ST 1"
"60","710 CLEMENTI WEST ST 2"
"61","510 WEST COAST DR"
"62","508 WEST COAST DR"
"63","701 WEST COAST RD"
"64","409 CLEMENTI AVE 1"
"65","709 CLEMENTI WEST ST 2"
"66","338 CLEMENTI AVE 2"
"67","372 CLEMENTI AVE 4"
"68","723 CLEMENTI WEST ST 2"
"69","207 BOON LAY PL"
"70","112 HO CHING RD"
"71","113 TAO CHING RD"
"72","440 JURONG WEST AVE 1"
"73","490 JURONG WEST AVE 1"
"74","459 JURONG WEST ST 41"
"75","520 JURONG WEST ST 52"
"76","904 JURONG WEST ST 91"
"77","527 JURONG WEST ST 52"
"78","366 CORPORATION DR"
"79","557 JURONG WEST ST 42"
"80","433 JURONG WEST ST 42"
"81","450 JURONG WEST ST 42"
"82","543 JURONG WEST ST 42"
"83","546 JURONG WEST ST 42"
"84","744 JURONG WEST ST 73"
"85","928 JURONG WEST ST 92"
"86","920 JURONG WEST ST 92"
"87","355 KANG CHING RD"
"88","347 KANG CHING RD"
"89","692 JURONG WEST CTRL 1"
"90","693 JURONG WEST CTRL 1"
"91","694 JURONG WEST CTRL 1"
"92","263 BOON LAY DR"
"93","261 BOON LAY DR"
"94","367 CORPORATION DR"
"95","748 JURONG WEST ST 73"
"96","756 JURONG WEST ST 74"
"97","738 JURONG WEST ST 75"
"98","850 JURONG WEST ST 81"
"99","345 KANG CHING RD"
"100","329 TAH CHING RD"
"101","330 TAH CHING RD"
"102","260 BOON LAY DR"
"103","555 JURONG WEST ST 42"
"104","549 JURONG WEST ST 42"
"105","558 JURONG WEST ST 42"
"106","331 TAH CHING RD"
"107","154 YUNG HO RD"
"108","410 TAMPINES ST 41"
"109","108 TAMPINES ST 11"
"110","161 TAMPINES ST 12"
"111","269 TAMPINES ST 21"
"112","265 TAMPINES ST 21"
"113","236 TAMPINES ST 21"
"114","271 TAMPINES ST 21"
"115","281 TAMPINES ST 22"
"116","282 TAMPINES ST 22"
"117","272 TAMPINES ST 22"
"118","225 TAMPINES ST 23"
"119","436 TAMPINES ST 43"
"120","894A TAMPINES ST 81"
"121","899 TAMPINES ST 81"
"122","924 TAMPINES ST 91"
"123","915 TAMPINES ST 91"
"124","211 TAMPINES ST 23"
"125","821 TAMPINES ST 81"
"126","828 TAMPINES ST 81"
"127","830 TAMPINES ST 82"
"128","831 TAMPINES ST 83"
"129","116 SIMEI ST 1"
"130","256 SIMEI ST 1"
"131","222 SIMEI ST 4"
"132","891 TAMPINES AVE 8"
"133","485B TAMPINES AVE 9"
"134","508 TAMPINES CTRL 1"
"135","250 TAMPINES ST 21"
"136","249 TAMPINES ST 21"
"137","354 TAMPINES ST 33"
"138","367 TAMPINES ST 34"
"139","728 TAMPINES ST 71"
"140","733 TAMPINES ST 71"
"141","719 TAMPINES ST 72"
"142","736 TAMPINES ST 72"
"143","741 TAMPINES ST 72"
"144","832 TAMPINES ST 82"
"145","867 TAMPINES ST 83"
"146","871 TAMPINES ST 84"
"147","257 TAMPINES ST 21"
"148","214 TAMPINES ST 23"
"149","856 TAMPINES ST 82"
