"","x"
"1","428 ANG MO KIO AVE 3"
"2","316A ANG MO KIO ST 31"
"3","542 BEDOK NTH ST 3"
"4","121 BEDOK RESERVOIR RD"
"5","57 NEW UPP CHANGI RD"
"6","95 BEDOK NTH AVE 4"
"7","623 BEDOK RESERVOIR RD"
"8","308 SHUNFU RD"
"9","271 BT BATOK EAST AVE 4"
"10","393 BT BATOK WEST AVE 5"
"11","126A KIM TIAN RD"
"12","22 JLN MEMBINA"
"13","76A REDHILL RD"
"14","136 PETIR RD"
"15","250 CHOA CHU KANG AVE 2"
"16","443 CHOA CHU KANG AVE 4"
"17","688C CHOA CHU KANG CRES"
"18","660 CHOA CHU KANG CRES"
"19","677 CHOA CHU KANG CRES"
"20","805D KEAT HONG CL"
"21","106 ALJUNIED CRES"
"22","32 BALAM RD"
"23","35 CIRCUIT RD"
"24","63 SIMS PL"
"25","18D CIRCUIT RD"
"26","687 HOUGANG ST 61"
"27","606 HOUGANG AVE 4"
"28","661 HOUGANG AVE 4"
"29","680 HOUGANG AVE 8"
"30","572 HOUGANG ST 51"
"31","476C UPP SERANGOON VIEW"
"32","209 BOON LAY PL"
"33","848 JURONG WEST ST 81"
"34","437 JURONG WEST AVE 1"
"35","272B JURONG WEST ST 24"
"36","558 JURONG WEST ST 42"
"37","669B JURONG WEST ST 64"
"38","671B JURONG WEST ST 65"
"39","212 PASIR RIS ST 21"
"40","772 PASIR RIS ST 71"
"41","189 PASIR RIS ST 12"
"42","768 PASIR RIS ST 71"
"43","220 PASIR RIS ST 21"
"44","781 PASIR RIS ST 71"
"45","213C PUNGGOL WALK"
"46","308B PUNGGOL WALK"
"47","265A PUNGGOL WAY"
"48","134 EDGEDALE PLAINS"
"49","638A PUNGGOL DR"
"50","203A PUNGGOL FIELD"
"51","97 C'WEALTH CRES"
"52","19 DOVER CRES"
"53","593A MONTREAL LINK"
"54","326C ANCHORVALE RD"
"55","441B FERNVALE RD"
"56","472B FERNVALE ST"
"57","123 RIVERVALE DR"
"58","236 COMPASSVALE WALK"
"59","407 SERANGOON AVE 1"
"60","143 SERANGOON NTH AVE 1"
"61","225 TAMPINES ST 23"
"62","523C TAMPINES CTRL 7"
"63","126 SIMEI ST 1"
"64","860 TAMPINES AVE 5"
"65","141 LOR 2 TOA PAYOH"
"66","37 LOR 5 TOA PAYOH"
"67","19 MARSILING LANE"
"68","518 WOODLANDS DR 14"
"69","520 WOODLANDS DR 14"
"70","335 WOODLANDS ST 32"
"71","505 WOODLANDS DR 14"
"72","512 WOODLANDS DR 14"
"73","849 WOODLANDS ST 82"
"74","869 WOODLANDS ST 83"
"75","672A YISHUN AVE 4"
"76","362 YISHUN RING RD"
"77","431D YISHUN AVE 1"
"78","790 YISHUN AVE 2"
"79","278 YISHUN ST 22"
"80","501A YISHUN ST 51"
"81","512C YISHUN ST 51"
"82","231 YISHUN ST 21"
