block,street_name,address,flat_type,floor_area_sqm,floor,unit,SRX_price
352,Kang Ching Rd,352 Kang Ching Road,HDB 4 Room,102,2,10,"$501,000"
933,Jurong West St 91,933 Jurong West Street 91,HDB 5 Room,127,8,10,"$493,000"
138C,Yuan Ching Rd,138C Yuan Ching Road,HDB 5 Room,108,5,10,"$724,000"
626,Jurong West St 65,626 Jurong West Street 65,HDB Executive,130,14,10,"$658,000"
8,Jln Batu,8 Jalan Batu,HDB 2 Room,48,5,10,"$261,000"
117B,Jln Tenteram,117B Jalan Tenteram,HDB 4 Room,93,14,10,"$817,000"
116A,Jln Tenteram,116A Jalan Tenteram,HDB 4 Room,93,23,10,"$769,000"
117A,Jln Tenteram,117A Jalan Tenteram,HDB 4 Room,93,26,10,"$766,000"
162B,Rivervale Cres,162B Rivervale Crescent,HDB 4 Room,93,14,10,"$514,000"
167B,Simei Lane,167B Simei Lane,HDB 5 Room,107,5,10,"$769,000"
160,Lor 1 Toa Payoh,160 Lorong 1 Toa Payoh,HDB 2 Room,40,8,10,"$272,000"
160,Lor 1 Toa Payoh,160 Lorong 1 Toa Payoh,HDB 2 Room,40,5,10,"$266,000"
142,Lor 2 Toa Payoh,142 Lorong 2 Toa Payoh,HDB 4 Room,86,14,10,"$652,000"
813B,Yishun Ring Rd,813B Yishun Ring Road,HDB 3 Room,67,5,10,"$448,000"
877,Yishun St 81,877 Yishun Street 81,HDB Executive,145,11,10,"$676,600"
45,Telok Blangah Dr,45 Telok Blangah Drive,HDB 2 Room,45,11,10,"$287,000"
76,Telok Blangah Dr,76 Telok Blangah Drive,HDB 2 Room,44,2,10,"$247,000"
9,Cantonment Cl,9 Cantonment Close,HDB 5 Room,110,14,10,"$916,000"
818C,Choa Chu Kang Ave 1,818C Choa Chu Kang Avenue 1,HDB 4 Room,92,11,10,"$546,000"
180A,Boon Lay Dr,180A Boon Lay Drive,HDB 2 Room,47,2,10,"$339,000"
31,Marine Cres,31 Marine Crescent,HDB 3 Room,76,5,10,"$436,000"
23B,Queen's Cl,23B Queen's Close,HDB 4 Room,89,5,10,"$451,000"
163C,Rivervale Cres,163C Rivervale Crescent,HDB 4 Room,93,14,10,"$735,000"
278A,Compassvale Bow,278A Compassvale Bow,HDB 5 Room,113,5,10,"$732,000"
494D,Tampines St 43,494D Tampines Street 43,HDB 3 Room,68,14,10,"$436,000"
52,Lor 6 Toa Payoh,52 Lorong 6 Toa Payoh,HDB 2 Room,43,2,10,"$266,000"
813A,Yishun Ring Rd,813A Yishun Ring Road,HDB 3 Room,67,2,10,"$440,000"
311C,Clementi Ave 4,311C Clementi Avenue 4,HDB 4 Room,80,8,10,"$719,000"
441B,Fernvale Rd,441B Fernvale Road,HDB 4 Room,93,17,10,"$524,000"
141,Lor 2 Toa Payoh,141 Lorong 2 Toa Payoh,HDB 5 Room,115,5,10,"853,000"
869,Woodlands St 83,869 Woodlands Street 83,HDB Executive,145,2,10,"$662,000"
310A,Ang Mo Kio Ave 1,310A Ang Mo Kio Avenue 1,HDB 5 Room,121,14,10,"$962,000"
413,C'wealth Ave West,413 C'wealth Avenue West,HDB 5 Room,125,8,10,"680,000"
6,Haig Rd,6 Haig Road,HDB 5 Room,118,5,10,"$692,000"
420,Hougang Ave 10,420 Hougang Avenue 10,HDB 4 Room,93,5,10,"$450,000"
169,Stirling Rd,169 Stirling Road,HDB 3 Room,60,8,10,"$297,000"
89,Dawson Rd,89 Dawson Road,HDB 4 Room,97,32,10,"$967,000"
49,Strathmore Ave,49 Strathmore Avenue,HDB 4 Room,90,14,10,"$767,000"
52,Strathmore Ave,52 Strathmore Avenue,HDB 4 Room,90,14,10,"$771,000"
92,Dawson Rd,92 Dawson Road,HDB 5 Room,99,8,10,"$1,000,000"
81,Strathmore Ave,81 Strathmore Avenue,HDB 5 Room,130,23,10,"$905,000"
121C,Canberra St,121C Canberra Street,HDB 4 Room,93,8,10,"$409,000"
418A,Fernvale Link,418A Fernvale Link,HDB 3 Room,68,11,10,"$409,000"
106,Bedok Nth Ave 4,106 Bedok North Avenue 4,HDB 2 Room,45,2,10,"$260,000"
697A,Jurong West Ctrl 3,697A Jurong West Central 3,HDB 4 Room,93,14,10,"$666,000"
453A,Fernvale Rd,453A Fernvale Road,HDB 3 Room,67,8,10,"$391,000"
672A,Yishun Ave 4,672A Yishun Avenue 4,HDB 2 Room,38,2,10,"$271,000"
27,Marine Cres,27 Marine Cres,HDB 5 Room,126,8,10,"$782,000"
175B,Yung Kuang Rd,175B Yung Kuang Road,HDB 4 Room,93,14,10,"$524,000"
54,Kent Rd,54 Kent Road,HDB 5 Room,127,17,10,"$803,000"
52,C'wealth Dr,52 C'wealth Drive,HDB 2 Room,47,8,10,"$561,000"
