"","X","month","town","flat_type","floor_area_sqm","flat_model","lease_commence_date","resale_price","year","remaining_lease","quarter","address","index","years","Lat","Lon","dist_presch","dist_gym","dist_park","dist_pharm","dist_mrt","dist_hawker","storey_index","k_fold"
"1",1,1,"BUKIT BATOK","3 ROOM",67,"New Generation",1985,348000,2022,62,1,"229 BT BATOK EAST AVE 3",163.42155609409,2022.04166666667,1.3482923,103.7545951,219.469326759901,1084.5004885254,1022.7779753567,377.11685619848,532.595123625881,1616.5536792855,2,2
"2",5,1,"BUKIT BATOK","3 ROOM",68,"Premium Apartment",2018,438000,2022,95,1,"296B BT BATOK ST 22",163.42155609409,2022.04166666667,1.343590847,103.7474273,126.373019802484,1454.07883701269,1557.3404091358,755.655987059548,568.033948839218,1073.62787025382,2,2
"3",7,1,"BUKIT BATOK","3 ROOM",68,"New Generation",1987,348188,2022,64,1,"364 BT BATOK ST 31",163.42155609409,2022.04166666667,1.360665,103.7492367,173.281389974261,521.422041532421,844.739374486765,975.676404599783,329.405091855482,1023.88050772777,2,2
"4",8,1,"BUKIT BATOK","3 ROOM",64,"Simplified",1988,335000,2022,65,1,"347 BT BATOK ST 34",163.42155609409,2022.04166666667,1.3621922,103.7512281,84.7177512504559,517.187559028367,761.30960756781,1194.62549449767,332.089037415566,1303.15218490566,2,2
"5",9,1,"BUKIT BATOK","3 ROOM",73,"Model A",1987,320000,2022,64,1,"416 BT BATOK WEST AVE 4",163.42155609409,2022.04166666667,1.3631754,103.745978,65.2606080497749,979.169667608154,1214.20106133469,1259.19128316956,786.545153073898,999.433034624025,2,2
"6",11,1,"BUKIT BATOK","4 ROOM",84,"Simplified",1985,370000,2022,62,1,"266 BT BATOK EAST AVE 4",163.42155609409,2022.04166666667,1.3493256,103.7601931,225.43947277746,1244.65007347023,620.054596131988,965.062754711591,1137.57262646504,2078.30275635504,2,2
"7",13,1,"BUKIT BATOK","4 ROOM",104,"Model A",1985,483000,2022,62,1,"209 BT BATOK ST 21",163.42155609409,2022.04166666667,1.3454729,103.7487412,150.452091116699,1463.91705584606,1492.48183866498,525.94041769754,329.129641881047,1240.49466298867,2,2
"8",14,1,"BUKIT BATOK","4 ROOM",94,"New Generation",1987,442000,2022,64,1,"361 BT BATOK ST 31",163.42155609409,2022.04166666667,1.3607022,103.7509697,42.6478812276239,386.097825889763,678.611589992136,1028.51801120977,190.697148123434,1186.88374950058,2,2
"9",15,1,"BUKIT BATOK","4 ROOM",98,"New Generation",1985,445000,2022,62,1,"305 BT BATOK ST 31",163.42155609409,2022.04166666667,1.3578601,103.7479682,292.947432828316,562.647515707565,903.344721100083,650.857550129769,439.246449921603,744.313003683276,2,2
"10",16,1,"BUKIT BATOK","4 ROOM",103,"Model A",1987,460000,2022,64,1,"340 BT BATOK ST 34",163.42155609409,2022.04166666667,1.3631549,103.7495082,136.296663146676,703.095975524875,974.298918297552,1254.18293578009,508.191119309963,1229.73691363121,2,2
"11",17,1,"BUKIT BATOK","4 ROOM",84,"Simplified",1988,403000,2022,65,1,"415 BT BATOK WEST AVE 4",163.42155609409,2022.04166666667,1.3631707,103.7467927,28.2745655200153,907.852221755254,1167.26423726394,1247.10287780697,714.41378975275,1044.00732398791,2,2
"12",19,1,"BUKIT BATOK","4 ROOM",120,"Model A",1985,495000,2022,62,1,"102 BT BATOK WEST AVE 6",163.42155609409,2022.04166666667,1.3477138,103.7475197,117.169810797803,1289.48128333939,1434.83422126961,322.307653068849,193.858558229873,1048.19945594417,2,2
"13",20,1,"BUKIT BATOK","5 ROOM",122,"Improved",1998,583000,2022,75,1,"291D BT BATOK ST 24",163.42155609409,2022.04166666667,1.3434866,103.7553921,76.1234721594603,1626.77066683371,736.460294340331,818.011966847558,887.294027044626,1959.90026408606,2,2
"14",23,1,"BUKIT BATOK","EXECUTIVE",149,"Maisonette",1985,675000,2022,62,1,"223 BT BATOK EAST AVE 3",163.42155609409,2022.04166666667,1.3481947,103.7530415,59.0733694743851,1081.17528913292,1074.6075324069,240.467142524057,370.220760467302,1472.61718258894,2,2
"15",24,1,"BUKIT BATOK","EXECUTIVE",145,"Apartment",1984,720000,2022,61,1,"140 BT BATOK ST 11",163.42155609409,2022.04166666667,1.3507386,103.743809,165.096643461397,1299.39373533474,1550.91664312056,253.217235931991,645.441556959706,544.954820143619,2,2
"16",25,1,"BUKIT MERAH","3 ROOM",73,"Model A",1984,4e+05,2022,61,1,"102 BT PURMEI RD",163.42155609409,2022.04166666667,1.2720458,103.8267436,33.8207567209757,747.292595044611,1014.46417879089,983.976423279514,889.027297871598,520.249186459986,2,2
