"","x"
"1","333 ANG MO KIO AVE 1"
"2","319 ANG MO KIO AVE 1"
"3","225 ANG MO KIO AVE 1"
"4","442 ANG MO KIO AVE 10"
"5","405 ANG MO KIO AVE 10"
"6","542 ANG MO KIO AVE 10"
"7","444 ANG MO KIO AVE 10"
"8","422 ANG MO KIO AVE 3"
"9","313 ANG MO KIO AVE 3"
"10","585 ANG MO KIO AVE 3"
"11","110 ANG MO KIO AVE 4"
"12","538 ANG MO KIO AVE 5"
"13","181 ANG MO KIO AVE 5"
"14","606 ANG MO KIO AVE 5"
"15","602 ANG MO KIO AVE 5"
"16","637 ANG MO KIO AVE 6"
"17","513 ANG MO KIO AVE 8"
"18","650 ANG MO KIO ST 61"
"19","335 ANG MO KIO AVE 1"
"20","102 ANG MO KIO AVE 3"
"21","131 ANG MO KIO AVE 3"
"22","604 ANG MO KIO AVE 5"
"23","620 ANG MO KIO AVE 9"
"24","350 ANG MO KIO ST 32"
"25","353 ANG MO KIO ST 32"
"26","310A ANG MO KIO AVE 1"
"27","539 ANG MO KIO AVE 10"
"28","101 ANG MO KIO AVE 3"
"29","627 ANG MO KIO AVE 9"
"30","104B ANG MO KIO ST 11"
"31","588C ANG MO KIO ST 52"
"32","219A BEDOK CTRL"
"33","520 BEDOK NTH AVE 1"
"34","549 BEDOK NTH AVE 1"
"35","108 BEDOK NTH RD"
"36","110 BEDOK NTH RD"
"37","218 BEDOK NTH ST 1"
"38","419 BEDOK NTH ST 1"
"39","122 BEDOK NTH ST 2"
"40","537 BEDOK NTH ST 3"
"41","536 BEDOK NTH ST 3"
"42","532 BEDOK NTH ST 3"
"43","501 BEDOK NTH ST 3"
"44","525 BEDOK NTH ST 3"
"45","529 BEDOK NTH ST 3"
"46","526 BEDOK NTH ST 3"
"47","744 BEDOK RESERVOIR RD"
"48","704 BEDOK RESERVOIR RD"
"49","59 CHAI CHEE RD"
"50","50 CHAI CHEE ST"
"51","517 BEDOK NTH AVE 2"
"52","82 BEDOK NTH RD"
"53","78 BEDOK NTH RD"
"54","524 BEDOK NTH ST 3"
"55","142 BEDOK RESERVOIR RD"
"56","724 BEDOK RESERVOIR RD"
"57","106 BEDOK RESERVOIR RD"
"58","35 BEDOK STH AVE 2"
"59","61 CHAI CHEE RD"
"60","808C CHAI CHEE RD"
"61","52 CHAI CHEE ST"
"62","655 JLN TENAGA"
"63","53 NEW UPP CHANGI RD"
"64","414 BEDOK NTH AVE 2"
"65","139 BEDOK NTH AVE 3"
"66","112 BEDOK NTH RD"
"67","118 BEDOK NTH ST 2"
"68","101 BEDOK RESERVOIR RD"
"69","722 BEDOK RESERVOIR RD"
"70","761 BEDOK RESERVOIR VIEW"
"71","34 CHAI CHEE AVE"
"72","670 JLN DAMAI"
"73","109 LENGKONG TIGA"
"74","60 NEW UPP CHANGI RD"
"75","130 BEDOK RESERVOIR RD"
"76","725 BEDOK RESERVOIR RD"
"77","636 BEDOK RESERVOIR RD"
"78","10E BEDOK STH AVE 2"
"79","148 BISHAN ST 11"
"80","113 BISHAN ST 12"
"81","122 BISHAN ST 12"
"82","114 BISHAN ST 12"
"83","184 BISHAN ST 13"
"84","153 BISHAN ST 13"
"85","181 BISHAN ST 13"
"86","241 BISHAN ST 22"
"87","204 BISHAN ST 23"
"88","287 BISHAN ST 24"
"89","273A BISHAN ST 24"
"90","449 SIN MING AVE"
"91","135 BISHAN ST 12"
"92","128 BISHAN ST 12"
"93","288 BISHAN ST 24"
"94","187 BISHAN ST 13"
"95","446 BRIGHT HILL DR"
"96","239 BT BATOK EAST AVE 5"
"97","215 BT BATOK ST 21"
"98","305 BT BATOK ST 31"
"99","363 BT BATOK ST 31"
