,Unnamed: 0,x,Lat,Lon
0,1,333 ANG MO KIO AVE 1,1.3613296,103.8517041
1,2,319 ANG MO KIO AVE 1,1.3650738,103.8473951
2,3,225 ANG MO KIO AVE 1,1.3674729,103.8380651
3,4,442 ANG MO KIO AVE 10,1.3657425,103.8551797
4,5,405 ANG MO KIO AVE 10,1.3617045,103.8536003
5,6,542 ANG MO KIO AVE 10,1.3746947,103.8558197
6,7,444 ANG MO KIO AVE 10,1.3666372,103.8555477
7,8,422 ANG MO KIO AVE 3,1.3679063,103.851562
8,9,313 ANG MO KIO AVE 3,1.3666693,103.8501128
9,10,585 ANG MO KIO AVE 3,1.3706862,103.8524706
10,11,110 ANG MO KIO AVE 4,1.3704772,103.8372853
11,12,538 ANG MO KIO AVE 5,1.3756617,103.8533738
12,13,181 ANG MO KIO AVE 5,1.3768573,103.8370688
13,14,606 ANG MO KIO AVE 5,1.379352,103.8365253
14,15,602 ANG MO KIO AVE 5,1.3807151,103.8353025
15,16,637 ANG MO KIO AVE 6,1.3803431,103.842413
16,17,513 ANG MO KIO AVE 8,1.3727497,103.8502032
17,18,650 ANG MO KIO ST 61,1.3776837,103.8426804
18,19,335 ANG MO KIO AVE 1,1.3631496,103.8507467
19,20,102 ANG MO KIO AVE 3,1.3706163,103.8392427
20,21,131 ANG MO KIO AVE 3,1.3710409,103.8417789
21,22,604 ANG MO KIO AVE 5,1.3797233,103.8357101
22,23,620 ANG MO KIO AVE 9,1.3824856,103.8395144
23,24,350 ANG MO KIO ST 32,1.3637044,103.8500976
24,25,353 ANG MO KIO ST 32,1.3640681,103.8515967
25,26,310A ANG MO KIO AVE 1,1.3650554,103.8438103
26,27,539 ANG MO KIO AVE 10,1.375436,103.8543703
27,28,101 ANG MO KIO AVE 3,1.3702489,103.8394238
28,29,627 ANG MO KIO AVE 9,1.3818885,103.841326
29,30,104B ANG MO KIO ST 11,1.3715473,103.8386643
30,31,588C ANG MO KIO ST 52,1.3718689,103.8535776
31,32,219A BEDOK CTRL,1.3253054,103.9328259
32,33,520 BEDOK NTH AVE 1,Nil,Nil
33,34,549 BEDOK NTH AVE 1,Nil,Nil
34,35,108 BEDOK NTH RD,1.3327098,103.9361971
35,36,110 BEDOK NTH RD,1.3324137,103.9346608
36,37,218 BEDOK NTH ST 1,1.3272469,103.9308139
37,38,419 BEDOK NTH ST 1,1.3272197,103.9279862
38,39,122 BEDOK NTH ST 2,Nil,Nil
39,40,537 BEDOK NTH ST 3,Nil,Nil
40,41,536 BEDOK NTH ST 3,1.3331763,103.9229319
41,42,532 BEDOK NTH ST 3,1.3340175,103.925139
42,43,501 BEDOK NTH ST 3,1.331615,103.9311056
43,44,525 BEDOK NTH ST 3,Nil,Nil
44,45,529 BEDOK NTH ST 3,1.3346662,103.9268611
45,46,526 BEDOK NTH ST 3,Nil,Nil
46,47,744 BEDOK RESERVOIR RD,1.337769,103.9217855
47,48,704 BEDOK RESERVOIR RD,1.3365333,103.9203354
48,49,59 CHAI CHEE RD,1.3248997,103.9202448
49,50,50 CHAI CHEE ST,1.3293183,103.9225179
50,51,517 BEDOK NTH AVE 2,Nil,Nil
51,52,82 BEDOK NTH RD,1.3295396,103.9403668
52,53,78 BEDOK NTH RD,1.3272685,103.9409107
53,54,524 BEDOK NTH ST 3,1.333584,103.9288299
54,55,142 BEDOK RESERVOIR RD,1.3357141,103.9132888
55,56,724 BEDOK RESERVOIR RD,1.3371453,103.928402
56,57,106 BEDOK RESERVOIR RD,1.3294979,103.9094598
57,58,35 BEDOK STH AVE 2,1.3223734,103.9398229
58,59,61 CHAI CHEE RD,1.3251171,103.9206073
59,60,808C CHAI CHEE RD,1.325311,103.9232153
60,61,52 CHAI CHEE ST,1.3287732,103.9209698
61,62,655 JLN TENAGA,1.333363,103.9068685
