,Unnamed: 0,town,flat_type,floor_area_sqm,flat_model,remaining_lease,resale_price,address,ind,Lat,Lon,dist_presch,dist_gym,dist_park,dist_pharm,dist_mrt,dist_hawker,index,storey_index,pred,perc_error
0,1,BUKIT BATOK,3 ROOM,67,New Generation,62,360000.0,239 Bt Batok East Ave 5,104,1.3503071,103.7551238,91.8856558231847,877.709783891111,792.263765758598,404.766177937644,579.100773292979,1577.52149746867,164.149516444337,4,338058.4335432804,-6.094879571310998
1,2,BUKIT BATOK,3 ROOM,67,New Generation,61,330000.0,215 Bt Batok St 21,105,1.3468005,103.7534938,17.7966095385852,1237.4812674341,1132.64589871364,393.380966948455,489.647770134053,1601.07571661751,164.149516444337,1,324312.60612484923,-1.7234526894396263
2,3,BUKIT BATOK,3 ROOM,68,New Generation,62,348000.0,305 Bt Batok St 31,106,1.3578601,103.7479682,292.947432828316,562.647515707565,903.344721100083,650.857550129769,439.246449921603,744.313003683276,164.149516444337,3,331075.92606850853,-4.863239635486054
3,4,BUKIT BATOK,3 ROOM,68,New Generation,64,372000.0,363 Bt Batok St 31,107,1.3609581,103.7492367,182.159632030114,541.276120414539,859.447593526472,1007.89046524581,348.130945116021,1043.54627419033,164.149516444337,2,334216.1224086981,-10.156956341747827
4,5,BUKIT BATOK,3 ROOM,68,New Generation,62,350000.0,312 Bt Batok St 32,108,1.3599238,103.7475394,126.263571817053,650.323814060186,991.294583747147,880.947572595575,475.693514342317,824.089999388396,164.149516444337,4,336040.4664503887,-3.988438157031795
5,6,BUKIT BATOK,3 ROOM,69,Improved,65,365000.0,504 Bt Batok St 52,109,1.3519793,103.7551236,55.8866877062238,700.031303910768,608.274046029765,471.155699423414,633.167744215428,1523.08016154005,164.149516444337,3,377030.8198054306,3.2961150151864653
6,7,BUKIT BATOK,3 ROOM,73,Model A,64,342000.0,540 Bt Batok St 52,110,1.3544254,103.7512283,110.41653914416,436.049962936048,630.175795849996,464.401054746369,484.96207715815,1050.06613208434,164.149516444337,3,342152.80060606054,0.044678539783783715
7,8,BUKIT BATOK,3 ROOM,60,Improved,65,315000.0,504 Bt Batok St 52,111,1.3519793,103.7551236,55.8866877062238,700.031303910768,608.274046029765,471.155699423414,633.167744215428,1523.08016154005,164.149516444337,3,344785.0654684096,9.455576339177659
8,9,BUKIT BATOK,3 ROOM,60,Improved,64,320000.0,507 Bt Batok St 52,112,1.352213,103.7537627,159.134495668416,639.170776257368,627.967954202446,370.780414582939,514.713293817717,1369.81161164398,164.149516444337,2,342008.25176401704,6.877578676255325
9,10,BUKIT BATOK,3 ROOM,68,New Generation,65,324000.0,408 Bt Batok West Ave 4,113,1.3648173,103.7449977,244.817252260291,1178.79259318248,1137.7712431377,1459.38240105726,985.299558116936,1125.74473800454,164.149516444337,3,315109.4814814815,-2.7439871970736056
10,11,BUKIT BATOK,3 ROOM,74,Model A,61,345000.0,168 Bt Batok West Ave 8,114,1.3471632,103.7413645,65.2395873873875,1398.34891972119,1678.71556515965,270.248897976303,873.929732839563,574.984733120608,164.149516444337,2,329206.97142857144,-4.577689440993785
11,12,BUKIT BATOK,4 ROOM,93,New Generation,62,418888.0,235 Bt Batok East Ave 5,115,1.3493905,103.7558025,144.031022513057,997.218289501819,882.913629880887,476.923919032117,648.924633620113,1685.15107973698,164.149516444337,4,448682.3214706983,7.112717831663424
12,13,BUKIT BATOK,4 ROOM,105,Model A,61,432000.0,160 Bt Batok St 11,116,1.3489171,103.7420889,78.7660340653864,1505.32663447454,1817.82092794999,72.8046039975741,784.37422011435,701.642322252149,164.149516444337,2,421166.7595472975,-2.5076945492366916
13,14,BUKIT BATOK,4 ROOM,92,Premium Apartment,95,705000.0,296b Bt Batok St 22,117,1.3436123,103.7474273,125.333735722676,1455.85832645017,1557.98460571272,753.334854081855,565.781248728479,1073.66734348366,164.149516444337,9,574282.1647058823,-18.541536921151444
14,15,BUKIT BATOK,4 ROOM,92,Premium Apartment,95,640000.0,296b Bt Batok St 22,118,1.3436123,103.7474273,125.333735722676,1455.85832645017,1557.98460571272,753.334854081855,565.781248728479,1073.66734348366,164.149516444337,2,533795.6592592592,-16.594428240740744
15,16,BUKIT BATOK,4 ROOM,100,Model A,75,512000.0,289e Bt Batok St 25,119,1.344131,103.7591961,111.355449446309,1528.01747854017,515.482440708893,1057.08714434858,1185.10635904239,1943.02407167041,164.149516444337,4,451120.7451999264,-11.89047945313938
16,17,BUKIT BATOK,4 ROOM,93,New Generation,62,430000.0,308 Bt Batok St 31,120,1.3585281,103.7481278,253.378674684465,549.230209653088,893.370502455501,725.813200644382,404.940265923261,792.419234581884,164.149516444337,4,431964.0571155395,0.4567574687301165
17,18,BUKIT BATOK,4 ROOM,93,New Generation,63,430000.0,316 Bt Batok St 32,121,1.3606049,103.7469737,39.0772929255203,737.242058521101,1074.78962116497,960.856617384703,556.027590472347,829.619738783939,164.149516444337,4,420252.6526574186,-2.2668249633910165
18,19,BUKIT BATOK,4 ROOM,91,New Generation,61,425000.0,183 Bt Batok West Ave 8,122,1.3463279,103.743333,86.4506138322298,1480.0197935729,1772.66094122013,392.143251913403,684.123157158957,696.372408166342,164.149516444337,3,412566.12372915994,-2.9256179460800147
19,20,BUKIT BATOK,5 ROOM,121,Improved,62,500000.0,216 Bt Batok St 21,123,1.3471667,103.7534939,47.0177915510563,1196.75423573516,1160.95686191388,360.194448305055,466.826703329457,1577.5831024671,164.149516444337,1,523697.5882013412,4.739517640268244
20,21,BUKIT BATOK,5 ROOM,133,Model A,62,680000.0,203 Bt Batok St 21,124,1.3472587,103.7490556,74.8209550347268,1264.95746949705,1368.96031128292,326.238449848573,127.838548004923,1196.54886612829,164.149516444337,3,625622.8409090909,-7.996641042780745
21,22,BUKIT BATOK,5 ROOM,122,Improved,74,590000.0,288a Bt Batok St 25,125,1.3452213,103.7606448,197.13758950465,1398.18551384098,596.197392213703,1132.10037607992,1278.81416510947,1828.03939397019,164.149516444337,2,572738.1866258263,-2.9257310803684256
22,23,BUKIT BATOK,5 ROOM,122,Improved,75,610000.0,288b Bt Batok St 25,126,1.346174,103.7605546,198.580276504542,1440.62148172402,568.103670049266,1079.79230382977,1234.65311525254,1877.60239648245,164.149516444337,2,561913.2876599773,-7.883067596725028
23,24,BUKIT BATOK,5 ROOM,122,Improved,63,495000.0,325 Bt Batok St 33,127,1.3625814,103.7473365,115.465494798184,819.361122908845,1132.41906742826,1177.46928877388,626.041785373586,1024.02133065578,164.149516444337,1,508968.0831052728,2.8218349707621795
24,25,BUKIT BATOK,5 ROOM,120,Improved,63,502888.0,419 Bt Batok West Ave 2,128,1.3621252,103.7462999,46.9667213398,883.413357673615,1209.74501258625,1138.12441946076,693.383560922834,916.361467093526,164.149516444337,2,496976.0093486591,-1.1756078195027366
25,26,BUKIT BATOK,5 ROOM,118,Improved,81,655000.0,392 Bt Batok West Ave 5,129,1.3658965,103.7533232,269.719620571425,890.00600619716,726.881164184815,1662.11074895911,750.263934348071,1746.75301730734,164.149516444337,9,581359.8254544322,-11.242774739781348
