"town","nearest_town"
"ANG MO KIO","ANG MO KIO"
"BEDOK","BEDOK"
"BISHAN","BISHAN"
"BUKIT BATOK","BUKIT BATOK"
"BUKIT MERAH","BUKIT MERAH"
"BUKIT PANJANG","BUKIT PANJANG"
"BUKIT TIMAH","BUKIT TIMAH"
"CENTRAL AREA","CENTRAL AREA"
"CHOA CHU KANG","CHOA CHU KANG"
"CLEMENTI","CLEMENTI"
"GEYLANG","GEYLANG"
"HOUGANG","HOUGANG"
"JURONG EAST","JURONG EAST"
"JURONG WEST","JURONG WEST"
"KALLANG/WHAMPOA","KALLANG/WHAMPOA"
"MARINE PARADE","MARINE PARADE"
"PASIR RIS","PASIR RIS"
"PUNGGOL","PUNGGOL"
"QUEENSTOWN","QUEENSTOWN"
"SEMBAWANG","SEMBAWANG"
"SENGKANG","SENGKANG"
"SERANGOON","SERANGOON"
"TAMPINES","TAMPINES"
"TOA PAYOH","TOA PAYOH"
"WOODLANDS","WOODLANDS"
"YISHUN","YISHUN"
