Address,Lat,Lon
160 BT BATOK ST 11,1.3489171,103.7420889
161 BT BATOK ST 11,1.3484775,103.7420888
164 BT BATOK ST 11,1.3477409,103.7428129
177 BT BATOK WEST AVE 8,1.346356,103.7416359
130 BT BATOK WEST AVE 6,1.3511652,103.746072
127 BT BATOK WEST AVE 6,1.3518875,103.7460717
205 BT BATOK ST 21,1.3471327,103.7498505
248 BT BATOK EAST AVE 5,1.3502993,103.7564817
258 BT BATOK EAST AVE 4,1.3513108,103.758926
4 HILLVIEW AVE,Nil,Nil
6 HILLVIEW AVE,Nil,Nil
2 HILLVIEW AVE,37.3796015,-122.114127
146 BT BATOK WEST AVE 6,1.3496382,103.7440804
138 BT BATOK WEST AVE 6,1.3502232,103.7442615
134 BT BATOK WEST AVE 6,1.3516111,103.7444427
143 BT BATOK ST 11,1.3503871,103.7438778
145 BT BATOK ST 11,1.3500061,103.7438089
182 BT BATOK WEST AVE 8,1.3456232,103.7439181
180 BT BATOK WEST AVE 8,1.3456092,103.742742
228 BT BATOK CTRL,1.3486667,103.7536294
227 BT BATOK CTRL,1.3483314,103.7535816
219 BT BATOK ST 21,1.3472311,103.7550328
244 BT BATOK EAST AVE 5,1.3491241,103.7570247
116 BT BATOK WEST AVE 6,1.349665,103.7462584
113 BT BATOK WEST AVE 6,1.3488261,103.7451665
163 BT BATOK ST 11,1.3481081,103.7426319
169 BT BATOK WEST AVE 8,1.3465794,103.7410023
165 BT BATOK WEST AVE 8,1.3473797,103.7419085
129 BT BATOK WEST AVE 6,1.3514577,103.7459815
204 BT BATOK ST 21,1.347572,103.7498958
209 BT BATOK ST 21,1.3454729,103.7487412
135 BT BATOK WEST AVE 6,1.3512457,103.7448048
184 BT BATOK WEST AVE 8,1.3463435,103.7438082
225 BT BATOK CTRL,1.3493124,103.751807
123 BT BATOK CTRL,1.3514489,103.7475203
307 BT BATOK ST 31,1.3581784,103.748422
216 BT BATOK ST 21,1.3471667,103.7534939
115 BT BATOK WEST AVE 6,1.3491477,103.7465696
117 BT BATOK WEST AVE 6,1.3498771,103.7471128
111 BT BATOK WEST AVE 6,1.3483819,103.745981
103 BT BATOK CTRL,1.3482234,103.748063
223 BT BATOK EAST AVE 3,1.3481947,103.7530415
221 BT BATOK EAST AVE 3,1.3474582,103.7537655
214 BT BATOK ST 21,1.3475119,103.7527896
120 BT BATOK CTRL,1.3510103,103.7475202
121 BT BATOK CTRL,1.3516009,103.7478959
142 BT BATOK ST 11,1.3499693,103.743006
140 BT BATOK ST 11,1.3507386,103.743809
141 BT BATOK ST 11,1.3502834,103.7433625
33 TAMAN HO SWEE,1.288087,103.8309623
7 TELOK BLANGAH CRES,1.2783667,103.8194072
40 BEO CRES,1.2891435,103.8274678
44 TELOK BLANGAH DR,1.2714028,103.8106225
46 TELOK BLANGAH DR,1.2717906,103.8098756
103 DEPOT RD,42.7274043,-71.5795563
110 DEPOT RD,42.7283801,-71.5781501
42 TELOK BLANGAH RISE,1.2709676,103.8227058
132 JLN BT MERAH,1.2788445,103.8283634
133 JLN BT MERAH,1.2796169,103.8272869
96 HENDERSON RD,40.0517071,-83.0228911
77 INDUS RD,1.2910384,103.8271276
78 INDUS RD,1.2915032,103.8272188
128 BT MERAH VIEW,1.2826858,103.8233525
130 BT MERAH VIEW,1.2848284,103.8244801
119 BT MERAH VIEW,1.2835678,103.8208789
114 BT MERAH VIEW,1.2863147,103.822119
5 TELOK BLANGAH CRES,1.2787332,103.8192261
105 HENDERSON CRES,1.2901396,103.8225544
12 TELOK BLANGAH CRES,1.2771955,103.8196789
8 TELOK BLANGAH CRES,1.2778549,103.8194072
18 TELOK BLANGAH CRES,1.277911,103.822576
16 TELOK BLANGAH CRES,1.2780633,103.8213997
13 TELOK BLANGAH CRES,1.2781414,103.820494
2 JLN BT MERAH,1.2866982,103.8068191
1 JLN BT MERAH,1.2864913,103.8083538
108 JLN BT MERAH,1.2791362,103.8256786
102 BT PURMEI RD,1.2720458,103.8267436
106 BT PURMEI RD,1.2730751,103.8256575
62 TELOK BLANGAH HTS,1.2753474,103.8111688
63 TELOK BLANGAH HTS,1.2766698,103.8114559
60 TELOK BLANGAH HTS,1.2761458,103.8122562
55 TELOK BLANGAH DR,1.2739474,103.8120715
75 TELOK BLANGAH DR,1.2749161,103.8087208
141 JLN BT MERAH,1.2771799,103.8288803
7 EVERTON PK,1.2770881,103.8392427
3 EVERTON PK,1.2772176,103.8388585
146 JLN BT MERAH,1.2778438,103.830878
18 KG BAHRU HILL,Nil,Nil
20 REDHILL CL,1.2867965,103.8173583
13 REDHILL CL,1.2854175,103.8169393
19 REDHILL CL,1.2861074,103.8177997
28 JLN BT MERAH,1.286411,103.8098657
28 HOY FATT RD,1.2864086,103.8098066
29 HAVELOCK RD,1.2889141,103.8309731
18 TAMAN HO SWEE,1.2880992,103.8311813
30 JLN KLINIK,1.287684,103.8282883
26 JLN KLINIK,1.288261,103.8283736
28 JLN KLINIK,1.2879695,103.8281924
22 HAVELOCK RD,1.288844,103.8287358
37 JLN RUMAH TINGGI,1.2892479,103.8091786
36 BEO CRES,1.2883406,103.8271961
6 JLN BT HO SWEE,1.287659,103.831453
41 KIM CHENG ST,1.2847151,103.8316116
47 MOH GUAN TER,1.2842115,103.8310723
34 TELOK BLANGAH WAY,1.2735811,103.8224539
129 KIM TIAN RD,1.2812371,103.8288318
120 BT MERAH VIEW,1.282809,103.8225771
111 BT MERAH VIEW,1.286212,103.823644
109 JLN BT MERAH,1.2794991,103.8260265
104 BT PURMEI RD,1.2727517,103.8255559
110 BT PURMEI RD,1.2738047,103.8270224
114 BT PURMEI RD,1.275194,103.8258403
113 BT PURMEI RD,1.2748886,103.8271056
57 TELOK BLANGAH HTS,1.2746029,103.8125244
54 TELOK BLANGAH DR,1.2735829,103.8118904
69 TELOK BLANGAH HTS,1.2756444,103.810354
51 TELOK BLANGAH DR,1.2735257,103.8100806
101 HENDERSON CRES,1.2907112,103.8216714
103 HENDERSON CRES,1.2898163,103.8215129
140 JLN BT MERAH,1.2781401,103.8295536
4 EVERTON PK,1.2769367,103.8399016
7 KIM TIAN PL,1.2835884,103.8271056
115 BT PURMEI RD,1.2753564,103.8268859
48 TELOK BLANGAH DR,1.2723476,103.810532
73 TELOK BLANGAH HTS,1.2757603,103.8092221
72 TELOK BLANGAH HTS,1.276197,103.8095846
66 TELOK BLANGAH DR,1.2741796,103.809717
440 CLEMENTI AVE 3,1.3161638,103.7640373
509 WEST COAST DR,1.3111674,103.7610046
363 CLEMENTI AVE 2,1.3128065,103.7688807
365 CLEMENTI AVE 2,1.3122881,103.7699671
427 CLEMENTI AVE 3,1.3120117,103.7637884
334 CLEMENTI AVE 2,1.3158829,103.7684281
329 CLEMENTI AVE 2,1.3131084,103.7672512
323 CLEMENTI AVE 5,1.3158174,103.7670701
322 CLEMENTI AVE 5,1.3161142,103.7663458
326 CLEMENTI AVE 5,1.3144218,103.7663805
314 CLEMENTI AVE 4,1.3195864,103.7676871
313 CLEMENTI AVE 4,1.3195797,103.7676993
312 CLEMENTI AVE 4,1.3190189,103.7639468
354 CLEMENTI AVE 2,1.3135272,103.7708724
435 CLEMENTI AVE 3,1.3145991,103.7624531
433 CLEMENTI AVE 3,1.3140171,103.7618194
506 WEST COAST DR,1.3125589,103.7608236
508 WEST COAST DR,1.3116756,103.7617289
401 CLEMENTI AVE 1,1.306938,103.7681338
320 CLEMENTI AVE 4,1.3170708,103.7654405
310 CLEMENTI AVE 4,1.3201778,103.7661195
309 CLEMENTI AVE 4,1.3209451,103.7663458
307 CLEMENTI AVE 4,1.3214534,103.7670701
305 CLEMENTI AVE 4,1.321972,103.7659837
306 CLEMENTI AVE 4,1.3214601,103.7658932
303 CLEMENTI AVE 4,1.321312,103.764874
346 CLEMENTI AVE 5,1.3171185,103.7699671
431 CLEMENTI AVE 3,1.313793,103.7626341
339 CLEMENTI AVE 5,1.3195385,103.7691523
515 WEST COAST RD,1.3083936,103.7597373
520 WEST COAST RD,1.30715,103.7596467
602 CLEMENTI WEST ST 1,1.3051374,103.7662553
607 CLEMENTI WEST ST 1,1.3042508,103.7677943
608 CLEMENTI WEST ST 1,1.304331,103.7665269
702 WEST COAST RD,1.307257,103.7611615
703 WEST COAST RD,1.3067049,103.7607331
704 WEST COAST RD,1.30634,103.760552
711 CLEMENTI WEST ST 2,1.3050936,103.7610046
