,Address,Lat,Lon
1,4 HILLVIEW AVE,1.366330295,103.7622427
2,6 HILLVIEW AVE,1.366092707,103.7624339
3,18 KG BAHRU HILL,1.276596287,103.829967
4,412 C'WEALTH AVE WEST,1.310899066,103.7707598
5,411 C'WEALTH AVE WEST,1.310906573,103.7696908
6,414 C'WEALTH AVE WEST,1.311632837,103.7715953
7,415 C'WEALTH AVE WEST,1.310975784,103.7716805
8,413 C'WEALTH AVE WEST,1.311360566,103.7711234
9,22 KG BAHRU HILL,1.276312919,103.8297922
10,7 HILLVIEW AVE,1.365660438,103.7639146
11,8 HILLVIEW AVE,1.365666507,103.763913
12,410 C'WEALTH AVE WEST,1.311495434,103.7698813
13,138 ALEXANDRA RD,1.291717373,103.8149828
14,91 ZION RD,1.290815658,103.8339353
15,20 JLN KLINIK,1.288232811,103.8290368
16,23 KG BAHRU HILL,1.275997044,103.8293014
17,89 ZION RD,1.291541177,103.833438
18,137 ALEXANDRA RD,1.291057109,103.8195621
19,24 KG BAHRU HILL,1.27640087,103.8294913
20,19 KG BAHRU HILL,1.276380218,103.8303099
21,365 CORPORATION DR,1.337907188,103.7202901
22,103B DEPOT RD,1.280831978,103.8130795
23,103A DEPOT RD,1.280938456,103.8130891
24,106B DEPOT RD,1.2806944,103.810718
25,106A DEPOT RD,1.280675209,103.811082
26,104A DEPOT RD,1.280530949,103.8120665
27,104B DEPOT RD,1.280437095,103.8120638
28,112A DEPOT RD,1.281638505,103.8080393
29,109B DEPOT RD,1.281057137,103.8092769
30,112B DEPOT RD,1.281701237,103.8076904
31,111B DEPOT RD,1.281023553,103.8088494
32,96B HENDERSON RD,1.288085317,103.8212735
33,95B HENDERSON RD,1.287030206,103.8215337
34,2 HILLVIEW AVE,1.364827739,103.7650976
35,103 DEPOT RD,1.280809977,103.8134418
36,110 DEPOT RD,1.281721895,103.8084607
37,96 HENDERSON RD,1.286982032,103.8216717
38,105 DEPOT RD,1.281038636,103.8114425
39,107 DEPOT RD,1.281518491,103.8101138
40,3 DELTA AVE,1.291705054,103.8272872
41,1 DELTA AVE,1.292138933,103.8285451
42,2 DELTA AVE,1.291772216,103.8280114
43,208B CLEMENTI AVE 6,1.321329277,103.7628726
44,289A COMPASSVALE CRES,1.39764007,103.8977638
45,289B COMPASSVALE CRES,1.397717479,103.8973158
46,278C COMPASSVALE BOW,1.382801109,103.890929
47,287B COMPASSVALE CRES,1.398729126,103.8963559
48,288C COMPASSVALE CRES,1.398373322,103.898132
49,296B BT BATOK ST 22,1.343590847,103.7474273
50,105A DEPOT RD,1.281162525,103.811422
51,218C BOON LAY AVE,1.350661221,103.7112401
52,418A FERNVALE LINK,1.391074048,103.8796804
53,110A DEPOT RD,1.281562647,103.8093106
54,216A BOON LAY AVE,1.350485625,103.7122062
55,218B BOON LAY AVE,1.350571899,103.7111347
56,208A CLEMENTI AVE 6,1.322064599,103.7625543
