"","Address","Lat","Lon"
"1","18 KG BAHRU HILL",NA,NA
"2","412 C'WEALTH AVE WEST",NA,NA
"3","411 C'WEALTH AVE WEST",NA,NA
"4","414 C'WEALTH AVE WEST",NA,NA
"5","415 C'WEALTH AVE WEST",NA,NA
"6","413 C'WEALTH AVE WEST",NA,NA
"7","410 C'WEALTH AVE WEST",NA,NA
"8","91 ZION RD",NA,NA
"9","20 JLN KLINIK",NA,NA
"10","23 KG BAHRU HILL",NA,NA
"11","89 ZION RD",NA,NA
"12","365 CORPORATION DR",NA,NA
"13","103B DEPOT RD",NA,NA
"14","103A DEPOT RD",NA,NA
"15","106B DEPOT RD",NA,NA
"16","106A DEPOT RD",NA,NA
"17","104A DEPOT RD",NA,NA
"18","104B DEPOT RD",NA,NA
"19","112A DEPOT RD",NA,NA
"20","109B DEPOT RD",NA,NA
"21","112B DEPOT RD",NA,NA
"22","111B DEPOT RD",NA,NA
"23","95B HENDERSON RD",NA,NA
"24","96 HENDERSON RD",40.0517071,-83.0228911
"25","3 DELTA AVE",39.1258785,-84.4337934
"26","1 DELTA AVE",39.1295221,-84.42967
"27","2 DELTA AVE",39.1258785,-84.4337934
