"min_sample_split","validation","test"
2,0.03994264599592603,0.0693497610918746
12,0.04022653371832817,0.06979301411388131
22,0.041263480969053086,0.07131159755617471
32,0.04245002296981595,0.07310657493658532
42,0.043732464694550416,0.07473958243051826
52,0.04483429983978431,0.07633793634298644
62,0.04585311011869379,0.07790127844663815
72,0.046857366478334175,0.07913108222314391
82,0.04788821509075845,0.08027339321202276
92,0.048783474435064055,0.0809866878814009
102,0.04962041268633573,0.08174285111812554
